,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
61,Pocket,CD,"['jett', 'phoenix', 'skye']",1005,1.03,214.0,0.99,72%,142.1,0.74,0.27,0.11,0.10,20%,9%
62,skrawl,FC,"['sova', 'killjoy', 'breach']",3571,1.03,197.4,0.98,71%,130.5,0.67,0.29,0.07,0.07,26%,11%
63,Noobster,(+2),"['kayo', 'reyna', 'viper']",321,1.03,201.4,1.03,69%,130.3,0.72,0.31,0.11,0.13,29%,14%
64,Rosa,SL9,"['skye', 'raze', 'jett']",459,1.03,224.2,1.05,71%,142.2,0.78,0.28,0.12,0.11,17%,18%
65,MaiShiu,FOC,"['sova', 'sage', 'skye']",2747,1.03,193.3,0.98,72%,128.7,0.67,0.36,0.08,0.07,26%,15%
66,ANDY,FH,"['jett', 'raze', 'neon']",2748,1.03,224.5,1.06,69%,143.4,0.78,0.21,0.14,0.13,20%,12%
67,Bonobo,OG,"['cypher', 'vyse', 'tejo']",2548,1.02,212.1,1.05,70%,140.1,0.76,0.22,0.12,0.12,31%,14%
68,afino,293,"['sova', 'breach', 'kayo']",293,1.02,182.2,0.93,72%,121.6,0.63,0.39,0.04,0.04,27%,12%
69,InfrequeNt,WC,"['jett', 'reyna', 'raze']",1720,1.02,214.4,1.04,72%,136.5,0.73,0.27,0.12,0.10,21%,9%
70,JAMIE,(+1),"['brimstone', 'viper', 'omen']",288,1.02,182.7,0.99,72%,116.6,0.65,0.35,0.06,0.06,23%,13%
71,Hoodlum,(+2),"['tejo', 'breach', 'reyna']",682,1.02,227.8,0.99,70%,149.8,0.83,0.25,0.09,0.09,39%,15%
72,wizard,WC,"['omen', 'killjoy']",435,1.02,195.2,0.97,67%,123.3,0.67,0.22,0.08,0.06,16%,12%
73,sarvo,EVE.GC,"['jett', 'neon', 'reyna']",216,1.01,234.4,0.94,65%,157.1,0.75,0.24,0.21,0.25,21%,20%
74,Myth,FOC,"['killjoy', 'sova', 'breach']",2873,1.01,189.5,0.98,73%,123.1,0.67,0.37,0.07,0.08,25%,15%
75,toadfish,NOOB.GC,"['killjoy', 'cypher', 'deadlock']",232,1.01,192.3,0.98,69%,134.4,0.69,0.19,0.08,0.06,22%,12%
76,McKinley,BOBO,"['viper', 'sage', 'sova']",1997,1.01,194.1,0.98,70%,131.6,0.67,0.30,0.07,0.08,25%,15%
77,yumi,Papa,"['jett', 'breach', 'kayo']",210,1.01,203.0,0.97,73%,137.2,0.73,0.30,0.06,0.07,28%,10%
78,icy,CDMD,"['yoru', 'jett', 'raze']",774,1.01,218.5,0.99,69%,145.1,0.77,0.20,0.13,0.13,28%,10%
79,phi,iPGN,"['raze', 'sova', 'omen']",1181,1.01,198.3,0.97,71%,126.0,0.70,0.39,0.07,0.06,27%,10%
80,Nozz,BOBO,"['breach', 'omen', 'astra']",4684,1.00,186.0,0.97,73%,122.1,0.65,0.34,0.07,0.08,23%,17%
81,RAMEN,FH,"['omen', 'brimstone', 'raze']",1790,1.00,194.7,0.99,73%,132.0,0.67,0.26,0.07,0.06,23%,13%
82,kaza,HSW,"['jett', 'kayo', 'breach']",1247,1.00,192.4,0.96,70%,129.3,0.68,0.29,0.06,0.07,29%,12%
83,BiggieCheese,FH,"['brimstone', 'viper', 'astra']",3162,1.00,200.6,0.98,72%,133.4,0.70,0.35,0.09,0.10,28%,14%
84,miaf,(+2),"['astra', 'omen', 'brimstone']",345,1.00,192.4,0.96,70%,129.6,0.67,0.36,0.04,0.08,29%,23%
85,Lakers,MF,"['phoenix', 'raze', 'jett']",1057,1.00,237.8,1.09,72%,138.0,0.82,0.20,0.18,0.15,17%,14%
86,quens1on,RC,"['raze', 'chamber', 'killjoy']",913,1.00,209.5,0.99,67%,137.6,0.73,0.19,0.10,0.12,30%,16%
87,RYRY,ARC,"['sage', 'killjoy', 'cypher']",415,1.00,222.8,1.00,66%,148.4,0.77,0.19,0.14,0.11,25%,4%
88,Ippo,ARC,"['jett', 'raze', 'iso']",210,1.00,221.2,0.93,70%,151.7,0.76,0.20,0.15,0.15,25%,21%
89,indraa,Stac,"['jett', 'yoru', 'raze']",803,0.99,234.8,1.03,66%,148.8,0.81,0.19,0.21,0.20,24%,15%
90,norsin,FC,"['cypher', 'killjoy', 'viper']",3008,0.99,205.5,0.99,68%,134.0,0.72,0.24,0.09,0.08,26%,16%
91,Syvyth,(+4),"['raze', 'cypher', 'gekko']",210,0.99,197.2,0.90,70%,134.8,0.68,0.23,0.06,0.10,18%,4%
92,lea,(+2),"['iso', 'tejo', 'jett']",331,0.99,219.4,0.98,62%,146.6,0.75,0.18,0.15,0.18,30%,25%
93,MIKE,BOBO,"['jett', 'raze', 'chamber']",4270,0.99,198.5,0.99,69%,133.9,0.69,0.25,0.08,0.08,24%,15%
94,xue,HB,"['phoenix', 'reyna', 'raze']",920,0.99,206.2,0.96,69%,138.3,0.71,0.28,0.09,0.10,25%,9%
95,ecco,MRLN,"['viper', 'vyse', 'killjoy']",905,0.99,209.8,1.00,65%,141.9,0.76,0.18,0.10,0.10,35%,14%
96,illumi,DXA,"['jett', 'raze', 'sova']",643,0.99,216.2,1.02,67%,147.0,0.78,0.14,0.14,0.14,26%,11%
97,Vent,YONK,"['clove', 'jett', 'neon']",359,0.99,196.7,0.98,67%,124.8,0.71,0.22,0.10,0.10,31%,13%
98,gloom,JFT,"['breach', 'kayo', 'omen']",1004,0.99,193.1,0.94,71%,123.3,0.67,0.39,0.10,0.09,22%,24%
99,DARK,ARMR,"['raze', 'jett', 'yoru']",846,0.99,213.4,0.95,65%,140.2,0.74,0.24,0.14,0.15,26%,16%
100,Tony,(+1),"['skye', 'sova', 'fade']",359,0.99,187.0,0.99,69%,113.1,0.68,0.24,0.06,0.08,28%,15%
101,Shiny,INF.EC,"['gekko', 'vyse', 'cypher']",327,0.99,218.4,0.99,69%,142.6,0.77,0.21,0.10,0.11,33%,9%
102,SCRAM,CD,"['raze', 'sova', 'jett']",406,0.98,214.2,0.95,69%,138.6,0.74,0.21,0.14,0.12,22%,16%
103,NiceHacks,NERD,"['jett', 'phoenix', 'reyna']",2249,0.98,215.4,0.97,68%,139.0,0.73,0.20,0.17,0.16,20%,14%
104,reLOADED,VRTX,"['raze', 'sova', 'killjoy']",548,0.98,189.5,0.87,72%,129.7,0.63,0.34,0.08,0.07,19%,12%
105,LOATHE,(+4),"['iso', 'omen', 'cypher']",301,0.98,212.9,0.93,64%,129.8,0.75,0.15,0.11,0.11,29%,9%
106,lily,RIE,"['jett', 'raze', 'neon']",352,0.98,229.3,1.03,69%,151.1,0.78,0.21,0.18,0.15,24%,24%
107,rare,(+1),"['tejo', 'astra', 'killjoy']",211,0.98,201.7,0.93,69%,135.8,0.73,0.30,0.09,0.12,36%,18%
108,songry,xyz,"['sova', 'kayo', 'skye']",1687,0.98,201.3,0.94,69%,130.3,0.70,0.30,0.09,0.11,30%,12%
109,halthox,Reti,"['tejo', 'kayo', 'killjoy']",346,0.97,213.0,0.92,64%,134.5,0.73,0.27,0.11,0.14,18%,6%
110,Mundy,club,"['breach', 'clove', 'jett']",349,0.97,218.0,0.99,64%,142.2,0.79,0.17,0.13,0.17,41%,17%
111,lg1c,xyz,"['jett', 'chamber', 'reyna']",1207,0.97,200.0,0.97,67%,130.5,0.73,0.17,0.15,0.13,26%,13%
112,iBrocky,KRAKEN,"['kayo', 'chamber', 'skye']",1249,0.97,186.9,0.88,70%,125.0,0.63,0.37,0.05,0.08,25%,14%
113,Fweshest,FC,"['cypher', 'killjoy', 'sage']",3313,0.97,189.2,0.95,69%,122.4,0.68,0.27,0.07,0.08,30%,14%
114,Swifty,FURY,"['viper', 'kayo', 'breach']",306,0.97,202.0,0.91,65%,133.6,0.72,0.25,0.09,0.10,29%,11%
115,Crunchy,BOBO,"['brimstone', 'omen', 'sage']",1987,0.97,202.8,0.99,70%,128.5,0.71,0.33,0.10,0.09,28%,15%
116,PAIN,Elvi,"['sova', 'raze', 'sage']",743,0.97,193.6,0.88,68%,126.8,0.64,0.30,0.07,0.05,24%,10%
117,dizzyLife,SQ,"['sage', 'omen', 'jett']",724,0.96,222.2,1.27,73%,142.3,0.78,0.22,0.14,0.10,16%,23%
118,Errrnest,OG,"['phoenix', 'jett', 'breach']",761,0.96,180.6,0.92,68%,117.2,0.64,0.28,0.10,0.09,26%,22%
119,taxx,BONK,"['skye', 'sage', 'reyna']",1259,0.96,208.8,0.96,67%,136.6,0.73,0.25,0.11,0.10,27%,7%
120,Muzz,MEAT,"['killjoy', 'viper', 'sova']",1706,0.96,190.4,0.93,67%,126.0,0.68,0.22,0.08,0.10,29%,16%
121,Yifang,BOBO,"['skye', 'killjoy', 'sova']",1695,0.96,199.7,0.95,70%,134.1,0.70,0.32,0.08,0.11,24%,14%
122,nabiki,(+2),"['gekko', 'fade', 'sova']",254,0.96,183.4,0.88,65%,120.7,0.66,0.22,0.07,0.04,28%,12%
123,thàng,map,"['omen', 'sage', 'sova']",270,0.96,205.7,0.97,64%,131.5,0.72,0.21,0.10,0.14,14%,18%
124,ezk,iPGN,"['jett', 'sage', 'killjoy']",1019,0.96,216.5,0.95,64%,140.3,0.73,0.21,0.11,0.11,20%,12%
125,Nation,PRDX,"['cypher', 'killjoy', 'astra']",1280,0.96,178.1,0.94,70%,117.3,0.64,0.23,0.05,0.05,24%,14%
126,August,AIC,"['fade', 'sova', 'breach']",481,0.96,185.1,0.94,70%,124.6,0.65,0.25,0.07,0.06,33%,9%
127,teapot,Cele,"['raze', 'tejo', 'sage']",211,0.96,206.5,0.95,68%,138.2,0.72,0.18,0.11,0.17,25%,9%
128,Cobolt,WH,"['cypher', 'viper', 'astra']",345,0.96,201.6,0.86,69%,134.5,0.69,0.34,0.09,0.10,19%,7%
129,Fulvous,CLR,"['viper', 'killjoy', 'sage']",692,0.95,188.1,0.91,68%,126.0,0.65,0.26,0.09,0.09,20%,12%
130,nian,(+2),"['breach', 'yoru', 'kayo']",352,0.95,173.1,0.89,70%,114.8,0.62,0.34,0.05,0.08,33%,15%
131,pecks,MF,"['sova', 'raze', 'reyna']",1513,0.95,214.0,0.99,68%,135.8,0.74,0.23,0.09,0.11,22%,14%
132,Lazy,dont,"['omen', 'brimstone', 'viper']",239,0.95,203.6,0.86,74%,136.4,0.67,0.42,0.08,0.09,21%,12%
133,harry,(+2),"['raze', 'jett', 'reyna']",299,0.95,213.6,0.94,67%,140.1,0.76,0.22,0.13,0.15,18%,15%
134,KhenZy,(+1),"['jett', 'reyna', 'gekko']",263,0.95,214.5,0.96,64%,127.6,0.74,0.13,0.15,0.15,37%,13%
135,kronicx,VRTX,"['cypher', 'jett', 'skye']",625,0.95,189.5,0.86,67%,124.0,0.67,0.18,0.08,0.10,23%,18%
136,OrangePearl,NEB,"['viper', 'sage', 'jett']",367,0.95,204.8,0.92,66%,130.4,0.73,0.20,0.14,0.11,24%,17%
137,grg,KNG,"['breach', 'omen', 'sova']",689,0.94,187.7,0.86,68%,120.3,0.64,0.30,0.04,0.07,20%,11%
138,zek,280,"['jett', 'raze']",280,0.94,201.6,0.92,66%,138.6,0.72,0.16,0.10,0.09,25%,10%
139,Psycho,VRTX,"['jett', 'sova', 'reyna']",513,0.94,182.6,0.84,68%,115.3,0.64,0.31,0.08,0.09,24%,13%
140,brock,KTS,"['fade', 'jett', 'skye']",1209,0.94,186.2,0.86,70%,125.5,0.63,0.33,0.09,0.09,23%,10%
141,Baki,SN,"['jett', 'sage', 'yoru']",555,0.94,222.1,0.94,67%,140.7,0.76,0.18,0.17,0.15,18%,15%
142,joms,(+2),"['reyna', 'iso', 'raze']",321,0.94,181.3,0.89,68%,118.8,0.63,0.22,0.07,0.07,34%,12%
143,doleful,BNDT,"['gekko', 'fade', 'raze']",209,0.94,185.9,0.91,69%,124.3,0.67,0.26,0.08,0.10,33%,10%
144,Velora,XG,"['killjoy', 'cypher', 'deadlock']",336,0.94,199.7,0.94,65%,139.3,0.70,0.19,0.08,0.14,26%,22%
145,Jordation,WH,"['viper', 'omen', 'astra']",507,0.94,192.4,0.88,69%,127.2,0.67,0.27,0.09,0.10,26%,5%
146,WAT,TDK,"['brimstone', 'omen', 'viper']",3454,0.94,187.2,0.94,70%,121.7,0.67,0.26,0.08,0.08,30%,15%
147,Art,KTS,"['chamber', 'astra', 'skye']",868,0.94,174.0,0.93,71%,113.6,0.63,0.27,0.04,0.07,25%,10%
148,Floga,CDMD,"['iso', 'clove']",344,0.94,229.1,0.92,69%,157.4,0.81,0.25,0.10,0.13,30%,3%
149,FalleN,(+1),"['deadlock', 'gekko', 'omen']",288,0.94,197.3,0.89,66%,130.1,0.68,0.28,0.10,0.10,25%,18%
150,MKII,HSW,"['raze', 'phoenix', 'jett']",971,0.94,207.0,0.91,67%,138.0,0.71,0.21,0.13,0.14,18%,17%
151,clutchyy,RNP,"['cypher', 'omen', 'reyna']",2707,0.94,200.1,0.93,68%,129.8,0.69,0.25,0.11,0.12,24%,16%
152,Lieu,SCY,"['astra', 'viper']",238,0.94,179.7,0.97,66%,119.1,0.67,0.26,0.06,0.11,29%,12%
153,kalth,BONK,"['jett', 'raze', 'chamber']",969,0.94,211.0,0.98,67%,134.3,0.74,0.14,0.13,0.15,25%,13%
154,KR1S,247,"['sova', 'fade', 'tejo']",247,0.93,171.7,0.86,70%,118.5,0.57,0.23,0.04,0.08,27%,16%
155,RESLYDE,CDMD,"['jett', 'sova', 'breach']",740,0.93,205.0,0.94,69%,133.4,0.73,0.18,0.14,0.13,30%,14%
156,tensai,MF,"['kayo', 'viper', 'sage']",1551,0.93,192.8,0.92,70%,126.3,0.67,0.28,0.10,0.10,26%,12%
157,JELLYD,FC,"['sova', 'breach', 'fade']",1020,0.93,193.2,0.90,67%,126.5,0.68,0.24,0.10,0.10,29%,12%
158,aplo,LA,"['sage', 'astra', 'sova']",774,0.93,194.8,0.91,67%,127.0,0.69,0.27,0.08,0.11,23%,15%
159,Minimise,KING,"['sova', 'skye', 'viper']",4848,0.93,195.5,0.93,71%,125.1,0.68,0.33,0.11,0.13,22%,15%
160,Calamareee,TRIDENT,"['sova', 'breach', 'kayo']",736,0.93,176.9,0.86,69%,116.7,0.63,0.28,0.05,0.06,29%,17%
161,xsus,BONK,"['chamber', 'kayo', 'neon']",847,0.93,190.5,0.87,70%,122.5,0.66,0.39,0.09,0.12,22%,18%
162,KREAM,HB,"['jett', 'sage', 'killjoy']",652,0.92,194.4,0.92,65%,127.7,0.70,0.14,0.12,0.11,27%,17%
163,micalis,(+2),"['skye', 'jett', 'phoenix']",308,0.92,203.8,0.90,67%,139.0,0.70,0.23,0.12,0.15,29%,12%
164,jippo,AE,"['sova', 'gekko', 'breach']",292,0.92,175.3,0.82,67%,93.3,0.60,0.35,0.03,0.06,22%,17%
165,vesta,K16,"['reyna', 'raze', 'skye']",317,0.92,200.8,0.88,63%,142.3,0.71,0.19,0.08,0.13,25%,9%
166,pan1K,RGN,"['omen', 'reyna', 'sage']",901,0.92,189.3,0.89,69%,123.6,0.65,0.29,0.09,0.11,20%,19%
167,Parpy,LGC,"['sage', 'viper', 'killjoy']",512,0.92,186.0,0.89,69%,122.4,0.64,0.27,0.10,0.10,23%,10%
168,Kawaii,BOBO,"['yoru', 'raze', 'jett']",386,0.92,204.4,0.95,66%,134.2,0.72,0.24,0.15,0.21,24%,31%
169,MILKY,BOBO,"['astra', 'viper', 'cypher']",2430,0.91,173.9,0.86,69%,115.7,0.61,0.38,0.06,0.09,24%,15%
170,gon,Neme,"['breach', 'gekko', 'sova']",666,0.91,188.5,0.82,67%,126.5,0.65,0.32,0.06,0.10,27%,13%
171,vex,VSH,"['raze', 'phoenix', 'neon']",1435,0.91,205.7,0.89,65%,136.7,0.72,0.17,0.16,0.17,27%,13%
172,YAKUZA,FC,"['raze', 'reyna', 'phoenix']",826,0.91,198.4,0.88,66%,130.8,0.69,0.20,0.11,0.14,31%,11%
173,Long,VSH,"['omen', 'kayo', 'fade']",817,0.91,171.2,0.80,74%,110.8,0.57,0.54,0.06,0.09,20%,13%
174,SUAVE,(+7),"['sova', 'deadlock', 'vyse']",465,0.91,186.3,0.91,68%,124.8,0.66,0.23,0.08,0.07,29%,11%
175,Tayo,(+1),"['yoru', 'raze', 'neon']",449,0.91,217.8,0.87,61%,144.6,0.73,0.16,0.21,0.21,27%,16%
176,Xuan,(+1),"['cypher', 'vyse', 'brimstone']",352,0.91,222.4,0.93,64%,145.1,0.74,0.25,0.15,0.16,25%,10%
177,Jurkey64,RGN,"['astra', 'brimstone', 'viper']",297,0.90,184.5,0.82,68%,120.0,0.63,0.29,0.04,0.09,19%,18%
178,ESUH,Peac,"['sova', 'astra', 'phoenix']",729,0.90,199.8,0.87,67%,130.1,0.68,0.23,0.07,0.08,21%,10%
179,techuu,206,"['omen', 'breach', 'sova']",206,0.90,189.6,0.84,62%,120.7,0.67,0.34,0.04,0.08,19%,14%
180,exempt,HSW,"['sage', 'jett', 'killjoy']",2393,0.90,176.0,0.81,70%,115.0,0.60,0.36,0.07,0.07,25%,10%
181,CRIME,ALE,"['reyna', 'jett', 'omen']",226,0.90,189.8,0.80,59%,117.6,0.66,0.25,0.13,0.19,31%,9%
