,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,Saluat,265,"['neon', 'jett']",265,1.38,306.2,1.44,77%,200.5,1.07,0.21,0.21,0.14,33%,15%
1,Jdaii,(+2),"['reyna', 'raze', 'phoenix']",344,1.32,209.9,1.05,75%,133.9,0.76,0.21,0.08,0.12,26%,11%
2,Arixa,BOB,"['phoenix', 'jett', 'sage']",214,1.31,258.1,1.13,79%,163.4,0.88,0.29,0.14,0.14,21%,10%
3,Anq,VLNT,"['jett', 'raze', 'chamber']",1012,1.25,253.0,1.36,71%,161.4,0.89,0.15,0.18,0.14,28%,20%
4,Alexy,FLCV,"['jett', 'raze', 'reyna']",4070,1.25,241.1,1.34,78%,158.3,0.86,0.32,0.13,0.10,27%,20%
5,enerii,FLCV,"['jett', 'raze', 'skye']",4476,1.24,273.3,1.36,76%,172.6,0.96,0.24,0.21,0.14,25%,18%
6,Kohaibi,ALG.GC,"['reyna', 'jett', 'killjoy']",2995,1.22,235.5,1.31,79%,158.4,0.84,0.26,0.10,0.07,23%,15%
7,balua,GA,"['sage', 'kayo', 'skye']",389,1.22,258.7,1.23,74%,164.6,0.91,0.23,0.17,0.09,21%,20%
8,Yuicaw,WOL,"['omen', 'brimstone', 'raze']",429,1.22,241.6,1.31,72%,148.8,0.88,0.19,0.12,0.09,21%,15%
9,glacier,GOD,"['yoru', 'killjoy', 'cypher']",370,1.21,250.8,1.25,73%,161.4,0.87,0.31,0.11,0.10,33%,13%
10,Ayumiii,HYPA,"['cypher', 'viper', 'jett']",4354,1.21,251.1,1.30,75%,160.0,0.88,0.24,0.19,0.13,22%,22%
11,splash,TYL,"['reyna', 'raze', 'neon']",928,1.20,269.2,1.26,74%,176.1,0.94,0.21,0.22,0.14,27%,20%
12,elfie,MKS,"['raze', 'reyna', 'jett']",702,1.20,246.4,1.17,74%,159.9,0.86,0.27,0.12,0.11,27%,22%
13,shirazi,NOVA.GC,"['phoenix', 'astra', 'viper']",2871,1.19,220.6,1.26,78%,144.7,0.78,0.36,0.10,0.07,22%,20%
14,Sentinal,NHG,"['cypher', 'killjoy', 'jett']",558,1.19,187.4,0.93,80%,116.6,0.65,0.27,0.07,0.07,14%,21%
15,Denz,ZOL,"['vyse', 'cypher', 'skye']",203,1.18,239.7,1.12,65%,161.2,0.85,0.20,0.13,0.10,34%,22%
16,JohnnyP,BW,"['sova', 'sage', 'raze']",265,1.18,226.3,1.17,74%,145.9,0.77,0.36,0.10,0.05,29%,15%
17,Ninebody,TYL,['jett'],478,1.18,252.5,1.15,74%,154.4,0.87,0.19,0.19,0.13,27%,18%
18,madv,FLCV,"['breach', 'sage', 'kayo']",4743,1.17,218.8,1.19,76%,142.4,0.78,0.37,0.08,0.08,37%,19%
