,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
203,Akami,(+8),"['viper', 'sova', 'breach']",584,0.89,177.7,0.83,67%,118.5,0.62,0.23,0.07,0.08,24%,8%
204,Kitkat,YLA,"['cypher', 'viper', 'omen']",443,0.89,181.7,0.88,71%,117.2,0.64,0.26,0.08,0.05,26%,10%
205,Scarlet,(+1),"['skye', 'killjoy', 'cypher']",202,0.89,200.3,0.81,59%,132.9,0.66,0.12,0.12,0.13,25%,11%
206,TheNightChe,GMX,"['omen', 'tejo', 'astra']",482,0.89,188.4,0.93,63%,118.7,0.68,0.24,0.07,0.12,27%,5%
207,Khodor,UNT,"['sage', 'jett', 'raze']",379,0.89,220.0,0.92,64%,148.2,0.77,0.16,0.13,0.17,29%,16%
208,ImNotD7o,DRGN,"['omen', 'harbor', 'astra']",1126,0.89,178.6,0.82,67%,111.6,0.63,0.33,0.08,0.10,16%,14%
209,nugget,GMX.L,"['killjoy', 'cypher', 'viper']",847,0.89,174.9,0.86,67%,119.9,0.60,0.21,0.09,0.08,21%,17%
210,F6em,Dark,"['raze', 'sage', 'fade']",285,0.89,227.1,0.88,68%,142.9,0.77,0.21,0.14,0.16,19%,8%
211,Loco,BAAM,"['kayo', 'breach', 'skye']",1057,0.89,176.8,0.81,68%,118.1,0.62,0.35,0.07,0.08,24%,15%
212,Lemignon,MLC,"['skye', 'breach', 'sage']",581,0.89,186.9,0.84,67%,122.7,0.65,0.30,0.06,0.09,33%,9%
213,Collapsed,RAF,"['cypher', 'kayo', 'jett']",502,0.89,210.5,0.92,64%,135.5,0.75,0.12,0.13,0.18,31%,14%
214,Tuna,RAAD,"['breach', 'astra', 'sage']",1117,0.88,196.0,0.88,66%,128.6,0.70,0.22,0.12,0.17,26%,22%
215,berlin,(+7),"['fade', 'breach', 'jett']",641,0.88,186.8,0.83,64%,124.2,0.65,0.19,0.10,0.12,28%,9%
216,Poetite,Myth,"['gekko', 'skye', 'breach']",807,0.88,175.6,0.83,71%,115.7,0.61,0.37,0.09,0.12,26%,16%
217,ralle,SM,"['astra', 'viper', 'omen']",410,0.88,164.5,0.77,61%,112.4,0.58,0.24,0.05,0.07,30%,8%
218,FuRy,aldo,"['sova', 'omen', 'astra']",637,0.88,177.9,0.78,66%,116.6,0.60,0.32,0.04,0.07,24%,11%
219,rezy,QAD,"['fade', 'brimstone', 'viper']",4318,0.88,170.6,0.83,70%,113.0,0.60,0.34,0.05,0.07,27%,12%
220,Ebeeee,FRG,"['brimstone', 'omen', 'viper']",3047,0.88,173.8,0.83,68%,109.8,0.61,0.31,0.06,0.09,23%,20%
221,Gunner,GMX,"['viper', 'killjoy', 'sova']",879,0.88,173.4,0.82,63%,117.9,0.60,0.14,0.06,0.07,27%,15%
222,HEMMORJAY,SKUL,"['jett', 'reyna', 'raze']",2459,0.88,206.5,0.89,65%,136.1,0.72,0.17,0.17,0.18,22%,8%
223,kasper,RAF,"['sage', 'jett', 'skye']",5004,0.88,173.9,0.84,68%,112.9,0.62,0.32,0.06,0.09,32%,15%
224,SWEET,201,"['kayo', 'sova']",201,0.88,181.0,0.79,66%,126.9,0.62,0.32,0.08,0.11,30%,17%
