key ,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
1487,Ticey,DSY,"{'chamber', 'raze', 'jett'}",2897,1.05,224.0,1.05,72,146.2,0.77,0.29,0.15,0.16,18,14
1488,audaz,ULF,"{'viper', 'chamber', 'omen'}",1505,1.05,193.6,1.03,72,128.3,0.70,0.30,0.07,0.07,37,13
1489,alexiiik,NAVI,"{'raze', 'jett', 'chamber'}",4748,1.05,234.8,1.12,68,149.7,0.83,0.15,0.20,0.18,29,14
1490,AKIMB0,WHO,"{'omen', 'viper', 'astra'}",1907,1.05,193.4,1.01,71,126.1,0.68,0.27,0.06,0.04,22,13
1491,Símplex,Boda,"{'astra', 'omen', 'brimstone'}",322,1.05,195.2,1.00,71,124.6,0.70,0.43,0.07,0.06,29,10
1492,lcdFFF,EK,"{'omen', 'raze', 'reyna'}",1322,1.05,228.2,1.03,69,148.7,0.79,0.20,0.14,0.11,15,13
1493,Feeqn,HAVU,"{'raze', 'sage', 'cypher'}",4493,1.05,206.7,1.05,72,136.1,0.72,0.23,0.08,0.08,19,15
1494,MrFaliN,FUT,"{'sova', 'killjoy', 'skye'}",6828,1.05,198.8,1.01,73,131.6,0.68,0.38,0.08,0.08,23,16
1495,NINJA,TLA,"{'fade', 'sova', 'omen'}",2011,1.05,199.5,1.07,73,131.1,0.72,0.31,0.08,0.08,29,15
1496,SimonD4rk,DSY,"{'sage', 'jett', 'raze'}",3636,1.05,230.2,1.06,70,148.7,0.80,0.18,0.19,0.16,21,12
1497,jas,EP,"{'sova', 'sage', 'jett'}",6004,1.05,229.6,1.07,69,149.5,0.79,0.20,0.18,0.16,28,18
1498,russ,S2G,"{'sage', 'jett', 'sova'}",4435,1.05,224.4,1.11,72,144.9,0.80,0.17,0.15,0.12,29,13
1499,Jahbu,SZK,"{'sova', 'gekko', 'viper'}",503,1.05,209.7,1.10,69,139.7,0.75,0.18,0.11,0.09,30,8
1500,AL7B,NBL,"{'omen', 'astra', 'viper'}",575,1.05,199.5,1.00,73,130.0,0.72,0.34,0.08,0.07,25,11
1501,rexxtoned,TLA,"{'killjoy', 'sage', 'skye'}",2031,1.05,204.5,1.10,72,137.3,0.74,0.22,0.10,0.09,38,15
