,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
591,Babax,F9,"['omen', 'brimstone', 'astra']",2021,0.99,188.8,0.95,71%,126.6,0.66,0.33,0.07,0.08,27%,19%
592,speedowka,KC.GC,"['jett', 'sage', 'skye']",3046,0.99,191.0,0.95,75%,123.5,0.68,0.41,0.07,0.08,30%,15%
593,Berrie,PING,"['jett', 'skye', 'chamber']",646,0.99,232.2,1.00,65%,148.6,0.80,0.16,0.25,0.21,22%,15%
594,noze,FMG.GC,"['brimstone', 'killjoy', 'viper']",945,0.99,189.0,0.97,66%,128.1,0.68,0.17,0.07,0.08,29%,15%
595,sh1n,JL,"['omen', 'sova', 'astra']",4831,0.99,185.0,0.98,73%,119.5,0.67,0.33,0.08,0.08,32%,14%
596,majusia,NOVO.NI,"['raze', 'chamber', 'jett']",2125,0.99,223.1,1.01,67%,147.8,0.78,0.18,0.20,0.18,27%,14%
597,Xyphex,ATNR,"['sova', 'viper', 'omen']",243,0.99,201.3,0.91,69%,133.7,0.69,0.33,0.05,0.06,28%,11%
598,Optimist,Team,"['omen', 'jett', 'viper']",2287,0.99,196.8,0.97,70%,131.0,0.67,0.23,0.08,0.09,23%,13%
599,Nunmeister,DET,"['jett', 'killjoy', 'viper']",2561,0.99,203.2,1.00,67%,133.8,0.72,0.24,0.10,0.10,28%,15%
600,rhyme,GIA,"['breach', 'reyna', 'omen']",3971,0.99,207.2,1.00,72%,133.7,0.71,0.29,0.11,0.12,31%,13%
601,Jammu,KAMK,"['cypher', 'chamber', 'vyse']",376,0.99,209.4,1.00,68%,140.8,0.73,0.16,0.14,0.15,33%,16%
602,penny,APK,"['omen', 'phoenix', 'jett']",351,0.99,195.9,1.01,69%,132.2,0.71,0.21,0.15,0.17,21%,19%
603,snikk,Z10,"['sage', 'raze', 'cypher']",5320,0.99,207.1,0.98,69%,138.1,0.72,0.25,0.10,0.10,30%,15%
604,SM1LE,MAN,"['raze', 'neon', 'jett']",243,0.99,217.8,1.05,66%,140.7,0.76,0.20,0.16,0.22,22%,21%
605,Boom,TQ,"['omen', 'jett', 'reyna']",657,0.99,197.9,0.96,68%,126.6,0.67,0.19,0.12,0.12,21%,7%
606,caydeN,DSY,"['omen', 'brimstone', 'sova']",3405,0.99,177.9,0.93,74%,117.7,0.62,0.38,0.06,0.07,26%,14%
607,Ale,LIL,"['omen', 'raze', 'reyna']",4531,0.99,218.0,1.01,69%,140.2,0.75,0.24,0.14,0.14,23%,16%
608,KILICARSLAN,DATH,"['omen', 'killjoy', 'cypher']",246,0.99,194.7,0.96,77%,123.8,0.69,0.26,0.08,0.04,26%,11%
609,disisjohn,SGE,"['jett', 'chamber', 'neon']",3819,0.99,217.5,1.04,68%,137.4,0.78,0.14,0.18,0.16,24%,13%
610,vong,GER,"['raze', 'sova', 'jett']",3336,0.99,208.7,0.97,71%,137.4,0.72,0.29,0.10,0.10,27%,18%
611,AFoxx,RAAD,"['cypher', 'killjoy', 'skye']",1907,0.99,185.6,1.04,69%,126.2,0.70,0.13,0.10,0.08,36%,9%
612,EMENK,19,"['killjoy', 'jett', 'reyna']",804,0.99,194.8,1.00,68%,127.4,0.70,0.20,0.09,0.09,33%,18%
613,DESTRUCT1VEE,GAL,"['omen', 'breach', 'sage']",4418,0.99,200.0,0.98,72%,131.2,0.70,0.33,0.10,0.10,28%,17%
614,fanboy,GN,"['jett', 'omen', 'breach']",555,0.99,210.5,0.96,66%,136.9,0.76,0.17,0.12,0.13,30%,13%
615,Dreamas,GZ,"['jett', 'raze', 'killjoy']",4153,0.99,197.7,1.01,70%,130.9,0.69,0.20,0.09,0.09,21%,15%
616,AKUMAAAAA,JL,"['breach', 'sage', 'sova']",5490,0.99,211.6,0.98,70%,138.0,0.73,0.28,0.13,0.13,29%,16%
617,PMC,RYL,"['raze', 'iso', 'cypher']",281,0.99,212.1,1.02,67%,140.7,0.74,0.19,0.14,0.14,34%,16%
618,rCk,RZN,"['omen', 'breach', 'sova']",2250,0.98,199.5,0.92,70%,133.9,0.66,0.37,0.07,0.06,22%,14%
619,Thykuza,VLNT,"['jett', 'skye', 'neon']",2203,0.98,231.5,0.98,67%,149.8,0.79,0.24,0.18,0.18,21%,17%
620,Dev0,NXT,"['raze', 'jett', 'sage']",2812,0.98,215.2,0.98,68%,139.4,0.75,0.18,0.16,0.15,26%,19%
621,chanformer,NXT,"['sova', 'omen', 'viper']",2255,0.98,186.3,0.94,69%,120.9,0.65,0.31,0.08,0.10,21%,16%
622,johkubb,WIN,"['raze', 'jett', 'neon']",893,0.98,209.7,0.98,70%,136.6,0.73,0.23,0.15,0.16,25%,16%
623,nataNk,MKOI,"['omen', 'brimstone', 'viper']",3575,0.98,200.3,0.94,71%,132.4,0.69,0.32,0.11,0.13,23%,18%
624,Edelweiss,GB,"['sage', 'viper', 'breach']",1592,0.98,204.0,1.01,70%,131.6,0.72,0.25,0.09,0.10,23%,16%
625,Movi,NXT,"['jett', 'astra', 'omen']",1733,0.98,186.2,0.91,70%,126.6,0.66,0.31,0.06,0.07,28%,11%
626,sw1ze,PRT,"['killjoy', 'cypher', 'sova']",696,0.98,198.8,0.96,67%,132.4,0.71,0.19,0.09,0.08,25%,17%
627,Boo,TH,"['brimstone', 'omen', 'breach']",8244,0.98,179.6,0.96,73%,116.6,0.64,0.35,0.08,0.08,30%,14%
628,nyczu,ESC,"['cypher', 'killjoy', 'viper']",3248,0.98,186.6,0.94,71%,125.1,0.65,0.26,0.06,0.07,22%,13%
629,pashapain666,SKUL,"['brimstone', 'omen', 'sage']",1613,0.98,197.0,1.01,69%,132.1,0.71,0.24,0.08,0.09,30%,14%
630,koalanoob,NAVI,"['jett', 'raze', 'yoru']",454,0.98,210.7,0.97,71%,137.5,0.72,0.21,0.20,0.14,23%,9%
631,KPZET,BAR,"['killjoy', 'viper', 'astra']",2873,0.98,195.9,0.96,70%,128.9,0.69,0.32,0.09,0.10,33%,15%
632,denzo,HMB,"['phoenix', 'raze', 'jett']",1060,0.98,233.8,0.97,66%,148.0,0.79,0.19,0.18,0.19,23%,16%
633,Docent,FFV,"['brimstone', 'killjoy', 'omen']",4471,0.98,196.9,0.93,70%,128.4,0.68,0.31,0.09,0.10,27%,19%
634,Yuna,本桜,"['sova', 'breach', 'sage']",578,0.98,201.8,0.91,68%,127.5,0.69,0.31,0.06,0.07,20%,15%
635,EMiL,Stil,"['omen', 'cypher', 'sova']",200,0.98,206.6,0.91,66%,133.1,0.72,0.31,0.11,0.10,24%,4%
636,darkwinjett,PXU,"['neon', 'sage', 'omen']",862,0.98,209.1,0.95,68%,139.6,0.72,0.31,0.12,0.16,21%,8%
637,xsa,LXT,"['breach', 'kayo', 'omen']",527,0.98,189.2,0.91,68%,130.9,0.67,0.31,0.05,0.07,26%,10%
638,MayaMeow,NSR.IN,"['breach', 'skye', 'kayo']",1452,0.98,184.2,0.87,70%,121.1,0.61,0.43,0.05,0.08,22%,15%
639,Valone,(+5),"['raze', 'neon', 'jett']",382,0.98,212.9,1.01,64%,141.0,0.76,0.15,0.10,0.15,36%,20%
640,Vichyx,Boec,"['viper', 'omen', 'breach']",210,0.98,207.2,0.96,70%,132.1,0.74,0.29,0.09,0.06,26%,3%
641,Felipa,QAD.GC,"['skye', 'sage', 'raze']",4233,0.98,186.9,0.93,73%,123.7,0.65,0.38,0.07,0.07,30%,14%
642,pyth,G2,"['cypher', 'killjoy', 'viper']",1919,0.98,177.6,1.01,70%,115.7,0.65,0.21,0.06,0.07,30%,20%
643,Danah,FLCV,"['raze', 'sage', 'sova']",1371,0.98,213.9,0.94,70%,142.6,0.72,0.30,0.13,0.13,23%,12%
644,Ayzee,Bloo,"['chamber', 'sova', 'fade']",779,0.98,206.2,0.97,67%,136.6,0.73,0.21,0.11,0.13,25%,12%
645,xad,AXL,"['chamber', 'cypher', 'sova']",475,0.98,212.5,0.93,69%,145.5,0.71,0.33,0.08,0.10,19%,7%
646,MARCTYLINHO,JL,"['sova', 'cypher', 'omen']",2345,0.98,184.3,0.95,72%,119.7,0.65,0.32,0.06,0.05,21%,14%
647,appA,5HEA,"['raze', 'chamber', 'jett']",1171,0.98,212.9,0.99,68%,139.1,0.76,0.18,0.15,0.12,27%,10%
648,KILLDREAM,GMB,"['brimstone', 'viper', 'omen']",3018,0.98,224.6,1.00,68%,145.7,0.77,0.24,0.17,0.16,23%,15%
649,Nirenu,470,"['cypher', 'killjoy', 'viper']",470,0.98,195.8,0.99,67%,135.8,0.69,0.17,0.07,0.05,28%,18%
650,kv7m,Burb,"['viper', 'raze', 'jett']",730,0.98,191.5,0.94,71%,126.0,0.68,0.37,0.06,0.08,31%,15%
651,Anva,QAD.GC,"['jett', 'skye', 'sage']",3198,0.98,206.4,0.99,67%,138.4,0.73,0.19,0.12,0.11,25%,13%
652,lovers,rock,"['jett', 'raze', 'chamber']",1924,0.98,213.0,1.03,69%,138.3,0.75,0.19,0.17,0.15,22%,15%
653,Turbo,EVOP,"['raze', 'astra', 'kayo']",223,0.98,215.5,0.94,65%,138.1,0.76,0.28,0.10,0.11,34%,9%
654,happy,NB,"['omen', 'breach', 'killjoy']",205,0.98,209.0,0.97,64%,133.6,0.72,0.27,0.11,0.10,27%,5%
655,Louitan,OVA,"['raze', 'phoenix', 'reyna']",2526,0.98,211.4,0.98,70%,135.4,0.74,0.26,0.11,0.12,27%,11%
656,curve,WYL,"['neon', 'jett', 'yoru']",292,0.98,226.5,0.95,65%,148.8,0.77,0.22,0.21,0.20,24%,17%
657,Jangsterii,SKIP,"['breach', 'skye', 'omen']",397,0.98,199.1,0.90,72%,126.6,0.68,0.45,0.08,0.07,25%,13%
658,Bia,O2G,"['jett', 'reyna', 'viper']",1744,0.98,205.5,1.00,68%,131.4,0.74,0.13,0.14,0.13,26%,13%
659,skylen,SUP,"['sova', 'jett', 'breach']",3966,0.98,186.1,0.96,72%,122.5,0.66,0.33,0.07,0.08,33%,20%
660,alcoacH,UP,"['jett', 'kayo', 'raze']",435,0.98,211.5,0.96,66%,141.3,0.76,0.20,0.14,0.17,26%,11%
661,Touven,SUP,"['omen', 'astra', 'raze']",4734,0.98,202.0,0.94,70%,136.4,0.69,0.30,0.09,0.12,25%,12%
662,r1nny,zTit,"['sova', 'raze', 'sage']",443,0.98,195.7,0.88,71%,124.9,0.65,0.28,0.08,0.10,25%,10%
663,re1sxd,DxD,"['sage', 'brimstone', 'sova']",1824,0.98,189.6,0.96,69%,123.5,0.67,0.23,0.08,0.10,19%,23%
664,howl9,LEO,"['jett', 'raze', 'neon']",267,0.98,226.5,0.98,67%,148.8,0.78,0.15,0.22,0.16,20%,9%
665,arcaea,(+3),"['harbor', 'skye', 'kayo']",322,0.98,172.4,0.92,70%,113.8,0.63,0.39,0.06,0.07,29%,18%
