,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
43,dadstin,248,"['vyse', 'breach', 'cypher']",248,1.11,232.1,1.14,75%,144.3,0.78,0.26,0.10,0.05,22%,8%
44,terror,HAKI,"['sova', 'skye', 'chamber']",1251,1.11,224.3,1.07,72%,147.5,0.78,0.31,0.07,0.08,33%,15%
45,wrld,Fall,"['raze', 'chamber', 'jett']",388,1.11,251.2,1.19,70%,162.9,0.90,0.15,0.16,0.15,28%,28%
46,NiSMO,CUBE,"['raze', 'phoenix', 'sova']",8700,1.11,224.7,1.12,76%,145.9,0.77,0.40,0.11,0.09,27%,16%
47,skuba,NRG,"['phoenix', 'sage', 'astra']",10034,1.11,204.8,1.16,75%,132.4,0.74,0.32,0.07,0.07,28%,18%
48,kana,BLIN,"['reyna', 'raze', 'jett']",514,1.11,232.2,1.19,70%,148.9,0.82,0.15,0.16,0.15,17%,3%
49,zekken,SEN,"['sova', 'raze', 'jett']",10327,1.11,239.3,1.16,73%,154.7,0.83,0.26,0.16,0.14,23%,16%
50,Smoodies,UW.G,"['astra', 'omen', 'raze']",314,1.11,214.0,1.05,70%,136.9,0.75,0.42,0.06,0.06,28%,15%
51,FLOW3R,BRK.GC,"['fade', 'astra', 'sova']",468,1.11,234.7,1.05,72%,159.5,0.82,0.26,0.15,0.12,26%,15%
52,Reduxx,CUBE,"['reyna', 'phoenix', 'jett']",10263,1.10,239.0,1.15,71%,153.7,0.84,0.18,0.18,0.15,26%,14%
53,ShoT_UP,L11,"['reyna', 'phoenix', 'raze']",9443,1.10,223.7,1.13,74%,143.6,0.78,0.33,0.10,0.09,26%,16%
54,brawk,NRG,"['phoenix', 'jett', 'sova']",9871,1.10,202.8,1.09,76%,135.5,0.70,0.37,0.06,0.05,22%,17%
55,kiNgg,LEV,"['breach', 'kayo', 'raze']",5472,1.10,209.9,1.13,75%,136.9,0.73,0.34,0.10,0.09,27%,17%
56,hairzoid,UT,"['kayo', 'sova', 'skye']",279,1.10,210.0,1.05,72%,132.3,0.73,0.41,0.06,0.08,27%,26%
57,Timotino,TSM,"['kayo', 'omen', 'breach']",4818,1.10,245.0,1.14,71%,156.6,0.85,0.23,0.19,0.16,27%,16%
58,XXiF,TSM,"['cypher', 'jett', 'raze']",7333,1.10,211.1,1.10,73%,140.5,0.74,0.25,0.10,0.08,25%,14%
59,BABYBAY,G2,"['cypher', 'jett', 'raze']",6081,1.10,238.8,1.14,71%,150.5,0.81,0.21,0.19,0.15,18%,13%
60,edith,GHST,"['chamber', 'jett', 'raze']",2566,1.10,242.3,1.15,69%,155.8,0.85,0.17,0.18,0.16,26%,14%
61,Brookelynn,UWat,"['chamber', 'cypher', 'killjoy']",979,1.10,230.5,1.09,70%,145.3,0.80,0.16,0.15,0.10,19%,10%
62,leaf,G2,"['cypher', 'breach', 'reyna']",8755,1.10,236.2,1.13,71%,152.4,0.81,0.24,0.16,0.15,23%,19%
63,fives,(+3),"['killjoy', 'sova', 'skye']",530,1.10,210.9,1.01,72%,145.4,0.70,0.34,0.09,0.09,23%,17%
64,Kess,100T,"['viper', 'cypher', 'killjoy']",4567,1.10,216.0,1.08,73%,142.5,0.74,0.32,0.08,0.06,25%,13%
65,eeiu,100T,"['omen', 'brimstone', 'sova']",8699,1.10,204.2,1.13,75%,136.6,0.73,0.32,0.06,0.05,28%,13%
66,nzr,MIBR,"['fade', 'sova', 'breach']",1269,1.10,191.8,1.15,79%,124.6,0.68,0.35,0.05,0.05,20%,11%
67,Bahzar,CAT,"['kayo', 'skye', 'sova']",1187,1.09,222.3,1.06,70%,147.6,0.79,0.21,0.11,0.08,32%,15%
68,SicK,SEN,"['sage', 'phoenix', 'breach']",5997,1.09,223.3,1.17,75%,142.4,0.79,0.30,0.11,0.10,24%,19%
69,Neon,AMB,"['jett', 'raze', 'cypher']",7424,1.09,221.6,1.15,72%,139.7,0.79,0.18,0.18,0.14,18%,15%
70,bsmooth,(+6),"['breach', 'skye', 'kayo']",803,1.09,215.4,1.06,71%,142.8,0.76,0.37,0.09,0.09,29%,18%
71,AsianVyn,(+5),"['killjoy', 'neon', 'brimstone']",483,1.09,229.8,1.08,70%,147.5,0.84,0.22,0.15,0.14,20%,14%
72,migraines,(+3),"['fade', 'jett', 'killjoy']",261,1.09,227.5,1.23,74%,144.6,0.83,0.15,0.11,0.09,30%,11%
73,chloric,FOE,"['sova', 'omen', 'breach']",8918,1.09,209.0,1.08,75%,139.6,0.71,0.34,0.09,0.08,21%,16%
74,N4RRATE,SEN,"['jett', 'neon', 'raze']",2763,1.09,222.5,1.08,74%,144.6,0.76,0.32,0.12,0.10,24%,19%
75,Hiko,100T,"['omen', 'raze', 'sova']",3759,1.09,187.8,1.08,74%,126.6,0.66,0.35,0.03,0.03,25%,16%
76,austifrosti,TAMU,"['breach', 'viper', 'raze']",1874,1.09,236.3,1.10,73%,150.0,0.81,0.24,0.14,0.14,18%,17%
77,bella,ARI,"['sova', 'viper', 'chamber']",332,1.09,228.4,1.15,68%,147.1,0.82,0.14,0.14,0.11,26%,21%
78,xeta,T1,"['breach', 'skye', 'sova']",3240,1.09,192.8,1.07,77%,126.0,0.67,0.34,0.05,0.06,22%,19%
79,moose,BOXR,"['sova', 'raze', 'omen']",11744,1.09,203.3,1.12,73%,134.5,0.72,0.26,0.09,0.08,25%,17%
80,canezerra,NV,"['jett', 'yoru', 'reyna']",5593,1.09,254.4,1.15,71%,162.2,0.88,0.25,0.19,0.16,30%,16%
81,corey,TSM,"['phoenix', 'raze', 'reyna']",7553,1.09,228.1,1.12,72%,150.7,0.79,0.23,0.13,0.11,26%,12%
82,ZexRow,MAD,"['omen', 'killjoy', 'sage']",5199,1.08,216.2,1.13,71%,138.8,0.77,0.18,0.12,0.10,22%,14%
83,L4CE,FLY,"['sova', 'skye', 'breach']",7090,1.08,204.8,1.08,75%,135.0,0.73,0.34,0.07,0.06,30%,14%
84,req,SaD,"['jett', 'chamber', 'raze']",4409,1.08,231.3,1.13,69%,152.2,0.83,0.15,0.16,0.13,34%,14%
85,Melvin,BZK,"['jett', 'sova', 'phoenix']",1718,1.08,240.5,1.08,70%,158.8,0.83,0.22,0.18,0.15,26%,12%
86,frutta,TK,"['cypher', 'kayo', 'sage']",1036,1.08,214.3,1.01,68%,145.2,0.74,0.24,0.07,0.06,26%,15%
87,Korsonix,FSN,"['raze', 'reyna', 'phoenix']",7584,1.08,199.7,1.08,72%,131.8,0.71,0.28,0.06,0.07,25%,17%
