,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
83,theory,FUE,"['raze', 'jett', 'sova']",214,,201.7,0.83,,129.2,0.64,0.23,0.09,0.14,22%,8%
84,MT1,Meta,"['sova', 'sage']",202,,191.2,0.99,,113.5,0.66,0.23,0.08,0.08,25%,16%
85,delus1on,Stam,"['jett', 'cypher']",244,,220.3,1.09,,143.2,0.78,0.27,0.14,0.13,18%,14%
86,light,UNP,['omen'],208,,181.3,0.91,,119.4,0.65,0.31,0.08,0.03,19%,24%
87,kon4n,DIRE,"['breach', 'raze', 'phoenix']",444,,216.1,1.13,,145.7,0.74,0.33,0.10,0.09,23%,13%
88,aspas,MIBR,"['reyna', 'raze']",205,,254.9,1.19,,159.3,0.89,0.21,0.16,0.13,26%,28%
89,cad,VKS,"['killjoy', 'jett']",205,,188.7,0.88,,120.7,0.65,0.17,0.09,0.12,16%,4%
90,matheuzin,MAR,['cypher'],444,,179.9,0.92,,114.4,0.64,0.28,0.13,0.12,25%,14%
91,Fablo,Rush,"['cypher', 'reyna', 'jett']",201,,195.4,0.87,,128.1,0.68,0.12,0.08,0.15,18%,11%
92,txddy,MIBR.AC,['cypher'],557,,206.6,1.00,,125.2,0.73,0.20,0.08,0.08,22%,10%
93,Ondeflor,6K,"['phoenix', 'killjoy', 'breach']",250,,195.3,0.96,,123.2,0.69,0.33,0.10,0.09,16%,14%
94,mch,FREE,"['omen', 'sova', 'brimstone']",353,,171.4,0.82,,113.2,0.61,0.16,0.08,0.08,20%,12%
95,Mited,EXL,"['phoenix', 'raze', 'omen']",235,,238.8,1.12,,151.7,0.87,0.15,0.16,0.09,26%,7%
96,POTTER,AGM,"['cypher', 'killjoy']",349,,167.4,0.75,,107.8,0.56,0.27,0.04,0.09,17%,9%
97,Cpx,816,"['cypher', 'killjoy']",816,,184.7,0.88,,123.5,0.64,0.20,0.08,0.10,20%,24%
98,akemy,Labo,"['omen', 'phoenix', 'breach']",258,,160.7,0.76,,98.9,0.55,0.22,0.07,0.08,21%,10%
99,mpg,ANA,"['raze', 'sage', 'sova']",237,,181.4,0.82,,131.9,0.62,0.27,0.07,0.12,14%,27%
100,GuhRVN,LOS,"['cypher', 'killjoy', 'breach']",237,,178.6,0.89,,108.1,0.62,0.23,0.06,0.03,18%,11%
101,rhamurti,BD,"['sova', 'skye', 'sage']",221,,187.6,0.87,,130.2,0.65,0.29,0.07,0.14,19%,17%
102,rood,GLRS,"['omen', 'brimstone']",437,,182.0,0.84,,113.1,0.64,0.22,0.12,0.10,20%,7%
103,wilfps,BTF,"['cypher', 'killjoy']",241,,181.1,0.82,,111.3,0.62,0.22,0.08,0.14,26%,4%
104,LEozin,BD,"['phoenix', 'killjoy', 'raze']",242,,191.4,0.89,,122.1,0.67,0.22,0.12,0.12,18%,23%
105,RoY,NIP,"['brimstone', 'killjoy', 'breach']",266,,157.4,0.76,,106.4,0.53,0.20,0.07,0.10,13%,
106,NikkoLAN,FREE,"['jett', 'phoenix', 'reyna']",388,,211.0,0.99,,131.0,0.73,0.14,0.15,0.14,21%,16%
